POOL_ID,BLOCK_ID,IO_FIX,IS_OLD,SPACE,DATA_SIZE,FIX_COUNT,IS_HASHED,PAGE_TYPE,FLUSH_TYPE,INDEX_NAME,PAGE_STATE,TABLE_NAME,ACCESS_TIME,PAGE_NUMBER,NUMBER_RECORDS,COMPRESSED_SIZE,FREE_PAGE_CLOCK,NEWEST_MODIFICATION,OLDEST_MODIFICATION
0,59,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,332,0,0,0,1834061,0
0,60,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,199,0,0,0,1834357,0
0,61,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,333,0,0,0,1834357,0
0,62,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,200,0,0,0,1834669,0
0,63,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,334,0,0,0,1834669,0
0,64,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,201,0,0,0,1834965,0
0,65,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,335,0,0,0,1834965,0
0,66,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,202,0,0,0,1835277,0
0,67,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,336,0,0,0,1835277,0
0,68,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,203,0,0,0,1835589,0
0,69,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,337,0,0,0,1835589,0
0,70,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,204,0,0,0,1835843,0
0,71,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,339,0,0,0,1835843,0
0,72,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,205,0,0,0,1836113,0
0,73,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,340,0,0,0,1836113,0
0,74,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,206,0,0,0,1842384,0
0,75,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,341,0,0,0,1842384,0
0,76,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,207,0,0,0,1842428,0
0,77,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,342,0,0,0,1842428,0
