LOAD_OPTION,PLUGIN_NAME,PLUGIN_TYPE,PLUGIN_AUTHOR,PLUGIN_STATUS,PLUGIN_LIBRARY,PLUGIN_LICENSE,PLUGIN_VERSION,PLUGIN_MATURITY,PLUGIN_DESCRIPTION,PLUGIN_AUTH_VERSION,PLUGIN_TYPE_VERSION,PLUGIN_LIBRARY_VERSION
OFF,file_key_management,ENCRYPTION,Denis Endro eperi GmbH,NOT INSTALLED,file_key_management.so,GPL,1.0,Stable,File-based key management plugin,1.0,3.0,1.13
OFF,LOCALES,INFORMATION SCHEMA,"Roberto Spadim, Spaempresarial - Brazil",NOT INSTALLED,locales.so,BSD,1.0,Stable,Lists all locales from server.,1.0,100324.0,1.13
OFF,SQL_ERROR_LOG,AUDIT,Alexey Botchkov,NOT INSTALLED,sql_errlog.so,GPL,1.0,Stable,Log SQL level errors to a file with rotation,1.0,3.2,1.13
OFF,SERVER_AUDIT,AUDIT,Alexey Botchkov (MariaDB Corporation),NOT INSTALLED,server_audit.so,GPL,1.4,Stable,Audit the server activity,1.4.8,3.2,1.13
OFF,DISKS,INFORMATION SCHEMA,Johan Wikman,NOT INSTALLED,disks.so,GPL,1.1,Stable,Disk space information,1.1,100324.0,1.13
OFF,BLACKHOLE,STORAGE ENGINE,MySQL AB,NOT INSTALLED,ha_blackhole.so,GPL,1.0,Stable,/dev/null storage engine (anything you write to it disappears),1.0,100324.0,1.13
OFF,QUERY_RESPONSE_TIME,INFORMATION SCHEMA,Percona and Sergey Vojtovich,NOT INSTALLED,query_response_time.so,GPL,1.0,Stable,Query Response Time Distribution INFORMATION_SCHEMA Plugin,1.0,100324.0,1.13
OFF,QUERY_RESPONSE_TIME_AUDIT,AUDIT,Percona and Sergey Vojtovich,NOT INSTALLED,query_response_time.so,GPL,1.0,Stable,Query Response Time Distribution Audit Plugin,1.0,3.2,1.13
OFF,FEDERATED,STORAGE ENGINE,Patrick Galbraith,NOT INSTALLED,ha_federatedx.so,GPL,2.1,Stable,"Allows to access tables on other MariaDB servers, supports transactions and more",2.1,100324.0,1.13
OFF,simple_password_check,PASSWORD VALIDATION,Sergei Golubchik,NOT INSTALLED,simple_password_check.so,GPL,1.0,Stable,Simple password strength checks,1.0,1.0,1.13
OFF,SPHINX,STORAGE ENGINE,Sphinx developers,NOT INSTALLED,ha_sphinx.so,GPL,2.2,Gamma,Sphinx storage engine 2.2.6-release,2.2.6-release,100324.0,1.13
OFF,ARCHIVE,STORAGE ENGINE,"Brian Aker, MySQL AB",NOT INSTALLED,ha_archive.so,GPL,3.0,Stable,gzip-compresses tables for a low storage footprint,1.0,100324.0,1.13
OFF,FEDERATED,STORAGE ENGINE,"Patrick Galbraith and Brian Aker, MySQL AB",NOT INSTALLED,ha_federated.so,GPL,1.0,Gamma,Allows to access tables on other MariaDB servers,1.0,100324.0,1.13
OFF,handlersocket,DAEMON,higuchi dot akira at dena dot jp,NOT INSTALLED,handlersocket.so,BSD,1.0,Beta,Direct access into InnoDB,1.0,100324.0,1.13
OFF,WSREP_MEMBERSHIP,INFORMATION SCHEMA,Nirbhay Choubey,NOT INSTALLED,wsrep_info.so,GPL,1.0,Stable,Information about group members,1.0,100324.0,1.13
OFF,WSREP_STATUS,INFORMATION SCHEMA,Nirbhay Choubey,NOT INSTALLED,wsrep_info.so,GPL,1.0,Stable,Group view information,1.0,100324.0,1.13

