PACKED,COMMENT,NULLABLE,SUB_PART,INDEX_NAME,INDEX_TYPE,NON_UNIQUE,TABLE_NAME,COLUMN_NAME,COLLATION,INDEX_SCHEMA,SEQ_IN_INDEX,TABLE_SCHEMA,INDEX_COMMENT,TABLE_CATALOG,CARDINALITY
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,gtid_slave_pos,domain_id,A,mysql,1,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,gtid_slave_pos,sub_id,A,mysql,2,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,table_stats,db_name,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,table_stats,table_name,A,mysql,2,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,columns_priv,Host,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,columns_priv,Db,A,mysql,2,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,columns_priv,User,A,mysql,3,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,columns_priv,Table_name,A,mysql,4,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,columns_priv,Column_name,A,mysql,5,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,plugin,name,A,mysql,1,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,event,db,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,event,name,A,mysql,2,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,time_zone,Time_zone_id,A,mysql,1,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,host,Host,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,host,Db,A,mysql,2,mysql,<blank>,def,0

