CHECKSUM,DATA_FREE,NODEGROUP,CHECK_TIME,TABLE_NAME,TABLE_ROWS,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,AVG_ROW_LENGTH,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
NULL,0,<blank>,NULL,INNODB_CMP,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,25,NULL,13107200,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_FT_DELETED,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,9,NULL,9437184,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_CMP_RESET,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,25,NULL,13107200,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_LOCK_WAITS,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,599,NULL,16749238,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,TABLE_STATISTICS,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,1181,NULL,16733589,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_TABLESPACES_ENCRYPTION,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,2012,NULL,16743864,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_BUFFER_PAGE_LRU,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,6669,NULL,16765866,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_SYS_FIELDS,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,594,NULL,16609428,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_CMPMEM_RESET,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,29,NULL,15204352,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_SYS_COLUMNS,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,610,NULL,16613350,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_FT_INDEX_TABLE,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,1054,NULL,16744898,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_CMP_PER_INDEX_RESET,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,1755,NULL,16728660,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,user_variables,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,6630,NULL,16767270,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_FT_INDEX_CACHE,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,1054,NULL,16744898,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_SYS_FOREIGN_COLS,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,1748,NULL,16738848,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_FT_BEING_DELETED,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,9,NULL,9437184,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_BUFFER_POOL_STATS,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,257,NULL,16332350,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_TRX,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,4530,NULL,16751940,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_SYS_FOREIGN,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,1752,NULL,16700064,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_SYS_TABLES,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,2060,NULL,16743680,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_FT_DEFAULT_STOPWORD,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,56,NULL,14680064,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_FT_CONFIG,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,1163,NULL,16705332,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_BUFFER_PAGE,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,6852,NULL,16766844,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_SYS_TABLESPACES,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,2102,NULL,16759246,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
